RECIPE TITLE,TOTAL COOKING TIME,PREPARATION TIME,COOKING TIME,RECIPE SERVINGS,LEVEL,INGREDIENTS,RECIPE LINK
Chicken Nimbu Dhaniya Shorba Recipe,35 mins,20 mins,15 mins,2.0,Medium,"['180 Ml water', '40 gms chicken (diced))', '1/4 tsp ginger garlic paste', '1 tbsp coriander', '2  Lemon', '1 tbsp cream', '1/2 tsp butter', '1/2 tsp turmeric powder', '1/2 tsp green chilli paste', '1 tsp cornflour', 'A pinch of salt']",https://food.ndtv.com/recipe-chicken-nimbu-dhaniya-shorba-895091
Chicken Rogan Josh Recipe,1 hr 10 mins,10 mins,1 hr,4.0,Easy,"['2-3 Pieces chicken breasts', '3 tbsp oil', '1 large onion, sliced', '8-10  red chillies', '1 cup kokum', '3 tbsp desi ghee', '10-12  cloves', '7-8  green cardamoms', '2 1/2 tsp garlic paste', '1 tsp turmeric powder', '1 1/2 tsp black pepper powder', '1 gms saffron', 'Salt', 'Water']",https://food.ndtv.com/recipe-chicken-rogan-josh-240272
Chicken Salna Recipe,40 mins,20 mins,20 mins,3.0,Medium,"['500 grams  Boneless Chicken', '2 tbsp Oil', '2 medium Onions', '2  Cardamom', '1  Cinnamon', '1 tsp Cumin seeds', '1 tsp Pepper corn', '1/2  cup Sliced coconut', '2 tbsp Peanuts', '1 tbsp Ginger garlic paste', '1 tsp Turmeric powder', '1 tsp Coriander Powder', '1/2 tsp Red chilli powder', '2 small Chopped Tomatoes', 'to taste Salt', 'Water as required', 'Coriander leaves for Garnishing', '1 tsp Fennel seeds']",https://food.ndtv.com/recipe-chicken-salna-955254
Chicken Satay with Peanut Sauce Recipe,40 mins,10 mins,30 mins,4.0,Intermediate,"['For Chicken Marinade:', '1  Boneless Chicken  (diced)', '1 Tbsp Oil', '2 Tbsp Soya sauce', '1 Tbsp Sugar', '4-5 tsp Lemon Juice', '2 tsp Garlic (crushed)', 'To taste Salt', 'To taste Pepper', 'Satay Skewers', 'For Peanut Sauce:', '1 Large Onion', '1 Nos Garlic', '4-5  Red chillies', '2 Tbsp Oil', '1 Cup Peanut Butter', '2-3  Lemon Juice', '1-2 Tbsp Sugar', 'To taste Salt', '4 Cups Water', 'For Basting Sauce:', '4 Tbsp Peanut sauce', '3 Tbsp Soya sauce', '2 Tbsp Oil']",https://food.ndtv.com/recipe-chicken-satay-with-peanut-sauce-98712
Chicken Shami Kebab Recipe,1 hr 10 mins,20 mins,50 mins,4.0,Medium,"['1 Cup chana dal', '2 tsp oil', '1 tsp cumin seeds', '7-8  Cloves', '7-8 nos black peppercorns', '2 sticks cinnamon', '2 tsp coriander seeds', '1 tsp ajwain', '3 nos red chilli whole', '1/2  tsp chilli flakes', '500 gms boneless chicken', '1 tsp salt', '1 cup water', '1 tsp ginger, finely chopped', '2  Green chilli', '2 tsp garlic, finely chopped', '1/2 cup coriander leaves , chopped', '1/2 cup mint leaves , chopped', '2  Egg']",https://food.ndtv.com/recipe-chicken-shami-kebab-951716
Chicken Tikka Masala Recipe,50 mins,10 mins,40 mins,4.0,Easy,"['2 Tbsp Curry or tandoori paste', '2 tbsp Yogurt', '2  Chicken breasts (skinned)', '3 tbsp Single cream', '200 gram Tomatoes', '2 tsp Root ginger (grated), peeled', '2 cloves  Garlic (chopped), peeled', '3 tbsp Olive oil', '2  Bay leaves (optional)', '1 medium Onion (chopped), peeled', '2 medium Red chillies (seeded (if using Birdseye use only half to one), chopped', '1/4 tsp Turmeric', '1/4 tsp Paprika', '1/4 tsp Salt', '1/2 tsp Ground cumin', '1/2 tsp Ground coriander', '1/4 tsp Garam masala', '25 gram Fresh coriander leaves (optional)']",https://food.ndtv.com/recipe-chicken-tikka-masala-249661
Chicken Xacuti Recipe,2 hrs 10 mins,10 mins,2 hrs,5.0,Medium,"['For marination:', '1 kg Chicken', '1/4 tsp Turmeric powder', '1 tsp Salt', 'Paste 1 for marination:', '2 inches  GInger', '10  Garlic flakes', '1/2 bunch Coriander', '5  Green chillies', 'Paste 2 for Xacuti Masala:', '1 tsp Groundnut oil', '2  Onions, sliced', '2  Green chillies', '1  Ginger (1 inch)', '5  Garlic flakes', '1 large Coconut, grated', '1/2 bunch Coriander', 'Paste 3 of Xacuti Masala:', '2 inches  Cinnamon', '3  Cardamoms, peeled', '1 tsp Aniseed', '1 tsp Black pepper corn', '1 tbsp Poppy seeds', '1 tbsp Coriander seeds', '8-10  Kashmiri red chillies', '1  Star anise', '1  Maize flower', '1/4 piece  Nutmeg', '1/2 inch  Turmeric', 'Finishing:', '2 tsp Groundnut oil', '2  Onions, sliced', '2  Green chillies slit', '1/4 cup Water']",https://food.ndtv.com/recipe-chicken-xacuti-287147
Chickoo Lassi Recipe,10 mins,05 mins,05 mins,2.0,Easy,"['2  Chickoo', '75 ml curd', '75 ml milk', '1 gram cardamom powder', '30 gms honey']",https://food.ndtv.com/recipe-chickoo-lassi-953921
Chickpeas Tikka Masala Recipe,55 mins,20 mins,35 mins,2.0,Easy,"['For Marination:', '2 Cups boiled chole/chickpeas', '1.5 Cups dahi/yoghurt', '2 Tbsp ginger-garlic paste', '1 Tbsp methi/fenugreek seeds', '2.5  garam masala', '1.5 Tbsp haldi/turmeric powder', '1.5 Tbsp dhaniya/coriander powder', '2 tsp red chilli powder', '1 tsp chaat masala', 'For Tikka Gravy:', 'Oil/Butter (as per your preference)', '2 roughly chopped Tomatoes', '2 Tbsp sugar', '3 roughly chopped onions', '5-10 soaked   cashews', '2 Tbsp ginger-garlic paste', 'Solid spices – cloves, bay leaves, star anise', '1 Tbsp jeera/cumin powder', '1 Tbsp garam masala', '1.5 Tbsp haldi/turmeric powder', '1 tsp dhaniya/coriander powder', 'Red Chilli powder (as per spice levels)', 'Salt', '1 Cup heavy cream']",https://food.ndtv.com/recipe-chickpeas-tikka-masala-958453
Chilka Roti Recipe,25 mins,05 mins,20 mins,2.0,Easy,"['1  rice', '3/4  chana dal', 'Salt, to taste', 'Water, as required', 'Oil, for cooking']",https://food.ndtv.com/recipe-chilka-roti-958339
Chilli Cheese Garlic Paratha Recipe,20 mins,05 mins,15 mins,4.0,Easy,"['2 Cups wheat flour', 'A pinch of salt', '1 cup grated cheese (use your favourite variety)', '2-3  fresh green chillies, finely chopped', '3-4 fresh crushed or grated  garlic cloves', 'A pinch of salt', 'A pinch of red chilli powder', 'A pinch of cumin powder', 'Ghee for cooking the parathas']",https://food.ndtv.com/recipe-chilli-cheese-garlic-paratha-958345
Chilli Fish Recipe,55 mins,10 mins,45 mins,4.0,Medium,"['250 Gram Fish pieces (Boneless)', '1/2 cup Maida', '1/2 cup Corn flour', '1 tsp Baking powder', '2 tsp Soy sauce', '2 tbsp Celery, finely chopped', '1 tsp Pepper', 'Salt', 'Oil', 'To garnish  Spring onions', 'For the sauce:', '1 tbsp Ginger, chopped', '1 tbsp Garlic, chopped', '1 tbsp Green chilly, chopped', '4 tbsp Soy sauce', '5 tbsp Tomato sauce', '1 tbsp Chilli sauce', '1 tbsp Corn flour']",https://food.ndtv.com/recipe-chilli-fish-410882
Chilli Idli Recipe,35 mins,15 mins,20 mins,2.0,Easy,"['6-7  Idli', '1 large Onion (Cubed)', '1 medium Capsicum', '3-4  Green Chillies (Chopped)', '1 tsp Ginger Garlic Paste', '1 tsp Garlic (Chopped)', '1 tsp Black Pepper', 'to taste Salt', '1 tbsp Red Chilli Sauce', '1 tbsp Soya Sauce', '1 tbsp Vinegar', '2 tbsp Corn Starch', '1 tbsp Maida', 'Oil as required']",https://food.ndtv.com/recipe-chilli-idli-956384
Chilli Parotta Recipe,30 mins,15 mins,15 mins,2.0,Easy,"['4-5  Garlic cloves', '1 bowl  Parotta pieces', '1/2 cup Onion', '1/2 cup Capsicum', '1/2 cup Cabbage', '1 tbsp Soya Sauce', '1 tbsp Chilli sauce', 'to taste Salt', 'to taste Red Chilli', 'to taste Black Pepper']",https://food.ndtv.com/recipe-chilli-parotta-955271
Chinese Idli Recipe,25 mins,15 mins,10 mins,2.0,Easy,"['6 Pieces Idlis (cut in quarters)', '2 tbsp Oil', '1/2 cup Chopped onion', '1 and 1/2 tbsp Finely chopped Garlic', '1 and 1/2 tbsp Finely chopped Ginger', '2  Green Chillies', '1/2 cup Chopped bell pepper', '2 tbsp Tomato ketchup', '2 tbsp Red chilli sauce', '1 tbsp Soya Sauce', '1 tbsp Vinegar', '1 tbsp Sugar', '1/2 tsp Red chilli powder']",https://food.ndtv.com/recipe-chinese-idli-955342
Choco-Elaichi Peda Recipe,20 mins,05 mins,15 mins,2.0,Easy,"['300 gms Marie Biscuit', '150 gram Condensed Milk', '150 gms Chocolate Flavoured Syrup', '1 tsp Cardamom powder', '50 gram Desiccated Coconut', '10 gram Sliced Pistachios']",https://food.ndtv.com/recipe-choco-elaichi-peda-955471
Chocolate And Cereal Ki Gujiya Recipe,35 mins,20 mins,15 mins,4.0,Easy,"['To Fry  Ghee/Oil', 'For cover:', '500 gram Maida (all purpose flour)', '6 tbsp Oil/Ghee (melted)', 'For Filling:', '200 gram Dark Chocolate', '100 gram Cereal Choco']",https://food.ndtv.com/recipe-chocolate-and-cereal-ki-gujiya-956552
Chocolate Appo Recipe,1 hr 30 mins,30 mins,1 hr,20.0,Medium,"['3/4 Cup rice', '3 tbsp coconut, grated', '1 tsp baking powder', '1 tsp vanilla extract', '1/2 tsp cinnamon powder', '1/4 cup brown sugar', '1/4 cup unsweetened cocoa powder', 'A pinch of salt', '3 tbsp chocolate chips', '2-3 tbsp butter']",https://food.ndtv.com/recipe-chocolate-appo-952959
Chocolate Frozen Phirni Recipe,1 hr,15 mins,45 mins,2.0,Easy,"['2 Litre milk', '200 gms ghee', '400 gms mawa , grated', '300 gms jaggery', '200 gms cashew nut', '2 gram cardamom powder', '100 gms rice powder', '100 gms cocoa powder', 'for garnishing crushed pistachio', 'for garnishing frozen pomegranate seeds']",https://food.ndtv.com/recipe-chocolate-frozen-phirni-954515
Chocolate Gujiya Recipe,40 mins,10 mins,30 mins,12.0,Easy,"['1/2 Gram Maida', '150 gram Ghee', 'Ghee to Fry Gujiya One kg', '2 kg Sugar', '250 ml Water', '2 litre Milk', '100 gram Coco Powder', '250 gram Chocolate', '100 gram Chocolate Chips', 'Garnish Silver warak, chopped pista and kesar']",https://food.ndtv.com/recipe-chocolate-gujiya-957899
Chocolate Kaju Katli Recipe,50 mins,15 mins,35 mins,2.0,Medium,"['2 1/4 Cups cashew nuts', '1 cup sugar', '100 ml water', '1 cup milk chocolate or dark chocolate']",https://food.ndtv.com/recipe-chocolate-kaju-katli-952792
Chocolate Prunes Gujiyas Recipe,55 mins,15 mins,40 mins,2.0,Easy,"['For Gujiya Pastry:', '300  refined flour', '100  ghee', '100  water', '3  salt', 'For Gujiya Stuffing:', '60  dark chocolate', '60  prunes', '80  mawa', '80  sugar', 'A pinch of cardamom']",https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497
Chocolate Samosa Recipe,1 hr,15 mins,45 mins,2.0,Medium,"['For dough:', '1 kg refined flour', '350 gms desi ghee', '10 gms black cardamom seeds', 'For filling:', '500 gms chocolate block', '250 gms almonds, roasted', '250 gms cashew nuts, roasted', '100 gms pistachio, roasted', '1 kg sugar', '2.5 gms garam masala powder', 'for frying  oil']",https://food.ndtv.com/recipe-chocolate-samosa-952785
Chole Bhature Recipe,1 hr 15 mins,15 mins,1 hr,4.0,Medium,"['For chole:', '2 cup Chickpeas', '2 tsp Oil', '1  Bay leaf', '1   Cinnamon stick', '3-4  Cloves', '1 tsp Whole pepper corns', '3  Green cardamom', '2  Black cardamom', '1 tsp Turmeric powder', '1 tsp Chilli powder', '1 tsp Coriander powder', '1 tsp Cumin powder', '1 tsp Cumin seeds', '1/2 tsp Asafoetida', 'to taste Salt', '1 cup Onions, chopped', '1 cup Tomatoes, chopped', '1 tsp Ginger, chopped', '1 tsp Garlic, chopped', '1 tsp Ajwain', '1 tsp Lime juice', '1  Green chili, chopped', '1  Tea bag', '1 tbsp Butter', 'For the bhaturas:', '2 cups Refined flour', '1/2 tsp Yeast (dissolved for 10 minutes in luke warm water)', '1/2 cup Whole wheat flour', 'A pinch of Salt', 'Water (to knead)', 'Oil (for frying)']",https://food.ndtv.com/recipe-chole-bhature-231327
Chole Samosa Chaat Recipe,40 mins,25 mins,15 mins,2.0,Easy,"['1  Chole Curry', '1 and a half cup All Purpose Flour', '2-3  Mashed Potatoes', '1/2 tsp Chaat Masala', 'to taste Salt', '1/2 tsp Red Chilli Powder', '1/2 tsp Jeera Powder', '1/2 tsp Garam Masala', '1 tbsp Mint Chutney', '2 tbsp Dahi', '1 tbsp Tamarind Chutney', '1 tbsp Sev', '1 tbsp Coriander Leaves', '1 tbsp Pomegranate Kennels']",https://food.ndtv.com/recipe-chole-samosa-chaat-956041
Cholia Halwa Recipe,40 mins,05 mins,35 mins,2.0,Easy,"['150 Gram Pure ghee', '1/2 kg Chholia (coarsely ground)', '300 gram Sugar', '1/2 litre Milk', '1/2 tsp Ground cardamom seeds', 'To finish:', '2 tbsp Nuts and dried fruit', '2 tbsp Cream', '1 tbsp Crumbled khoya']",https://food.ndtv.com/recipe-cholia-halwa-218281
Choorie ka Paratha Recipe,30 mins,10 mins,20 mins,8.0,Easy,"['2 cups whole-wheat flour', '1/2 cup dhuli moong ki dal', '1 Tbsp ghee', 'Salt to taste', '1/8 tsp asafoetida', '1/2 tsp chilli powder', 'Ghee for frying']",https://food.ndtv.com/recipe-choorie-ka-paratha-98851
Chukandar Ka Halwa With Vanilla Ice Cream Recipe,45 mins,10 mins,35 mins,2.0,Easy,"['1 Kg beetroot, medium', '250 gms ghee', '300 gms mawa', '700 gms sugar', '100 gms cashew (broken)', '4 gram cardamom powder', '2 drops  ittar', 'Vanilla ice cream']",https://food.ndtv.com/recipe-chukandar-ka-halwa-with-vanilla-ice-cream-954516
Chur Chur Naan Recipe,1 hr 07 mins,55 mins,12 mins,2.0,Easy,"['For dough:', '1 cup white flour', '1 cup atta', '1 tsp baking soda', '1/2 tsp salt', '1 tbsp ghee', '3 tbsp milk', '1 cup water', 'For stuffing:', '1 cup paneer, grated', '1/2  Onion, finely chopped', 'to taste salt', '1 tsp red chillii powder', '1 tsp jeera powder', '1/2  Garlic clove', '1/2 tsp ginger', '1/2 tsp Garam masala', '1 tsp carom seeds', '1/2 tsp black pepper powder', '1 tbsp Ghee', 'Handful of coriander leaves', 'Handful of kasoori methi']",https://food.ndtv.com/recipe-chur-chur-naan-954470
Churma Recipe,11 mins,10 mins,01 mins,4.0,Intermediate,"['1/4 cup ghee', '250 gm atta', '60 gm gond', '120 gm sugar-powdered', '1/2 cup almonds-roasted and pounded coarsely', '1 tsp cardamom powder', 'Ghee to fry']",https://food.ndtv.com/recipe-churma-219631
Churumuri Recipe,20 mins,10 mins,10 mins,2.0,Easy,"['2 Cups puffed rice', '1/2  cup roasted peanuts', '1  red chilli powder', '1/2  salt', '1  black salt', '1 small onion, finely chopped', '1 small tomato, finely chopped', '2  green chilli, chopped', '2 tbsp coriander leaves, chopped', '2 tbsp lemon juice', '1 tsp cumin powder', '1 tsp ghee (optional)']",https://food.ndtv.com/recipe-churumuri-954751
Coconut Gujiya Recipe,50 mins,15 mins,35 mins,4.0,Easy,"['For the dough:', '2 tbsp ghee', '1 cup water', 'A pinch of salt', 'For the filling:', '1 cup khoya', '1  mava (condensed milk)', '1 cup sugar', '100 gms pistachio', '100 gms coconut powder', 'To fry  oil', 'sugar syrup (to dip gujiyas)']",https://food.ndtv.com/recipe-coconut-gujiya-492207
Coconut Ladoo Recipe,35 mins,15 mins,20 mins,2.0,Medium,"['1/2 Cup Khoya', '1 tsp Ghee', '10-15 nos Cashew', '10-15 nos Almond', '1 1/2 cup Dessicated Coconut', '1 cup Condensed Milk']",https://food.ndtv.com/recipe-coconut-ladoo-951170
Coconut Rabri Recipe,40 mins,10 mins,30 mins,2.0,Easy,"['1 Litre full cream milk', '1/2 cup grated coconut', '1/2 cup khoya', 'Sugar (as per desired levels)', 'Cashews', 'Cardamom', 'Chopped almonds and pistachios', '10 saffron strands (kesar)', 'Rose petals (for garnish)']",https://food.ndtv.com/recipe-coconut-rabri-958465
Coconut Rice Recipe,55 mins,10 mins,45 mins,4.0,Easy,"['1 Cup rice', '1 tbsp oil', '1 pod  black cardamom', '1-2  cinnamon sticks', '1 piece mace', '3-4  cloves', '1/2 tsp black pepper', '2-3  green cardamoms', '2 tsp ginger paste', '2 tsp garlic paste', '1 cup coconut milk', '1  onion, sliced', '1/2 bowl coconut, grated', 'to taste salt', 'water']",https://food.ndtv.com/recipe-coconut-rice-240324
Coconut Til Ladoo (Laddu) Recipe,30 mins,05 mins,25 mins,4.0,Easy,"['2 Cups white sesame seeds', '1 1/2 cup dates, chopped', '1 cup dry coconut, grated']",https://food.ndtv.com/recipe-coconut-til-ladoo-laddu-609918
Coconut and Ding Ladoo Recipe,40 mins,10 mins,30 mins,4.0,Easy,"['6  ghee', '100 gram gond / dinka / edible gum / anutu', '2 tbsp cashew / kaju, chopped', '2 tbsp almonds / badam, chopped', '2 tbsp raisins / kishmish', '1½ cup dry coconut / kopra,', '2 tbsp poppy seeds / khus khus', '¾  cup dry khajur / chuara / dry dates, seedless', '¼  tsp cardamom powder / elachi powder', '¼  tsp nutmeg powder / jaiphal powder', '1 cup jaggery / gud', '2 tbsp water']",https://food.ndtv.com/recipe-coconut-and-ding-ladoo-958297
Coconut poli Recipe,20 mins,10 mins,10 mins,2.0,Easy,"['250 gms jaggery', '250 gram fresh coconut, grated', '1 tsp cardamoms powder', '1/4 tsp nutmeg powder', 'For The Poli -Outer Covering', '300 gram whole wheat flour', '5 tbsp oil or ghee (clarified butter)', '5-6 tbsp beetroot puree', '1 tsp Haldi powder', '1 tbsp spinach puree', 'water as required to knead the dough', 'oil or ghee as required for roasting the coconut poli']",https://food.ndtv.com/recipe-coconut-poli-957905
Coorgi Ghee Rice Recipe,25 mins,05 mins,20 mins,2.0,Easy,"['1 Cup long grain rice', '1  large onion, thinely sliced', '2 tsp garlic, finely chopped', '2 tsp ginger, finely chopped', '1  cinnamon stick', '2  cardamom pods', '4  cloves', 'Ghee and oil, as needed', 'Salt, as per taste', 'sugar', 'Water']",https://food.ndtv.com/recipe-coorgi-ghee-rice-958260
Crispy Kalakand Recipe,40 mins,25 mins,15 mins,1.0,Medium,"['2  Filo sheet', '10 gms butter', '15 gms blueberry', '60 gms kalakand', '30 gms carrot', '30  sugar', '30 ml saffron water', '10 gms whole fennel', '1 gram silver varq', '10 ml rabri paste', '10 ml chocolate ganache', '5 gram pistachios, sliced']",https://food.ndtv.com/recipe-crispy-kalakand-954387
Crunchy Vegetable Dal Sattu Croquettes Recipe,45 mins,10 mins,35 mins,4.0,Medium,"['1 Cup red lentils or masoor dal (half-boiled)', '1  potato (grated), boiled', '1  carrot, grated', '100 gms French beans, finely chopped', '2  Bread slices', '4 tbsp ground chickpea flour (sattu)', '4  Green chillies, finely chopped', '1 inch  ginger, finely chopped', '2  onions, finely chopped', '1/2  garlic (minced)', 'to taste salt', 'A pinch of sugar', '1 tsp chaat masala', '1/4 tsp red chilli powder', '1/4 tsp garam masala', '4 tbsp corn flour', '2 tbsp besan', 'Bread crumbs for crunchyness', '2 tbsp coriander, chopped', 'Refined oil (for fryingP)']",https://food.ndtv.com/recipe-crunchy-vegetable-dal-sattu-croquettes-953986
Curd Rice Recipe,25 mins,10 mins,15 mins,2.0,Easy,"['1 Cup Rice', '3 cups Water', '1 1/2 cup Curd', '1/2 cup Milk', '1  Carrot', '1  Green Chilli', '1 tsp Ginger', '1 tsp Salt', '1 bunch Coriander leaves', '2 tsp Oil', '2 tsp Mustard Seeds', '1 tsp Chana dal', '2 tsp Urad dal', '2 bunch Curry leaves', '2  Red chilli', '1/2 tsp Hing']",https://food.ndtv.com/recipe-curd-rice-77
Curry Leaves Thogayal Recipe,15 mins,10 mins,05 mins,4.0,Easy,"['3 cups  Fresh curry leaves', '1/2 cup  Grated coconut', '2 tsp  Oil', '1 tsp  Urad dal', '1 tbsp  Bengal gram', '1/4 tsp  Mustard seeds', '2  Garlic cloves', '1-inch  Ginger', 'Pinch of asafoetida', '2  Dry red chillies', '2  Green chillies', '1 tsp  Tamarind', '1 tsp  Sugar or jaggery', 'Salt to taste', 'Water, as requried']",https://food.ndtv.com/recipe-curry-leaves-thogayal-958146
Custard Apple Kalakand Recipe,1 hr,20 mins,40 mins,4.0,Easy,"['2 litre milk', '2 tsp lemon juice', '2 tsp sugar', '1/2 cup cardamom, powdered', '1 tsp custard apple pulp', '1 cup ghee', '1/2 cup pistachios', '5 - 6 almonds, slivered', 'Silver foil (optional)']",https://food.ndtv.com/recipe-custard-apple-kalakand-617963
Custard Apple Kheer Recipe,1 hr 05 mins,05 mins,1 hr,2.0,Easy,"['5 large custard apples', '100 gm jaggery', '1 tsp cardamom powder', '1 cup broken green gram (roasted)', '1 cup coconut milk', '1 Tbsp almond flakes', '1 Tbsp pistachio flakes', '3-4 cups water']",https://food.ndtv.com/recipe-custard-apple-kheer-763671
Dabeli Recipe,1 hr 10 mins,10 mins,1 hr,4.0,Intermediate,"['1 Kg potatoes', '4 medium onions', 'A pinch of garam masala', '1 cup peanuts', '2 tsp salt', '2 tsp red chilli powder', '4 tbsp imli and gur chutney', '2 tbsp garlic chutney']",https://food.ndtv.com/recipe-dabeli-98849
Dahi Aloo Recipe,35 mins,15 mins,20 mins,2.0,Medium,"['1/4 Cup Ghee', '1 cup Cumin Seeds', '1/8 tsp Asafoetida Water', '1 tsp Ginger', '2 nos Tomato, pureed', '1/2 tsp Garam Masala', '1 tsp Coriander Powder', '1/2 tsp Salt', '1/2 tsp Turmeric Powder', '1/2 tsp Red Chilli Powder', '3-4  Potatoes (Boiled)', '1  Green Chilli, chopped', '1/2 cup Water', '1/2 cup Curd', '1/4 cup Coriander Leaves']",https://food.ndtv.com/recipe-dahi-aloo-951200
Dahi Anjeer Ke Kebab Recipe,30 mins,10 mins,20 mins,2.0,Easy,"['100 gms anjeer', '250 gms hung curd', '400 gms paneer', '150 gms chana powder, roasted', '150 gms bread crumbs', '50 gram ginger', '25 gms green chilli', '50 gms green coriander, chopped', '200 gms ghee', '40 gms garam masala powder', '15 gms elaichi powder', '10 gms jeera powder, roasted', 'to taste salt']",https://food.ndtv.com/recipe-dahi-anjeer-ke-kebab-952869
Dahi Aur Bhindi Recipe,45 mins,20 mins,25 mins,2.0,Medium,"['2 Tbsp Oil', '1 cup Bhindi', '1  Onion, chopped', '1 tsp Salt', '1 tsp Turmeric Powder', '1 tsp Red Chilli Powder', '1 tsp Coriander Powder', '1 tsp Cumin Powder', '1 cup Curd', '2 tbsp Ghee', '1 tsp Mustard Seeds', '1 tsp Urad Dal', '10-12  Curry Leaves', '2  Green Chillies']",https://food.ndtv.com/recipe-dahi-bhindi-131
Dahi Bhalla Recipe,1 hr 10 mins,10 mins,1 hr,2.0,Easy,"['For the bhallas:', '400 gms moong dal', '1 cup urad dal', '2 tsp zeera', '1 tsp chironji', 'Oil (for deep frying)', 'For the khatti chutney:', '1 cup coriander leaves', '1/4 cup pudina leaves', '1  Green chilli', '20  Ginger cloves', '1/2 tsp black rock salt', 'to taste salt', '1/2 tsp garam masala (With black cardamom, mace, nutmeg, zeera, laung)', '1  Lemon (juiced)', 'For the meethi chutney:', '250 gms tamarind pulp (soaked in 1 1/2 cup water)', '800 gms sugar', '3 tsp kachri powder', '1/2 tsp saunth powder', '1 tsp degi mirch', 'to taste salt', '1/2 tsp black rock salt', '1/2 tsp garam masala (With black cardamom, mace, nutmeg, zeera, laung)', 'For dahi:', '3 cups yogurt', '2 tbsp sugar, powdered', 'For chaat masala:', '2 tsp peeli mirch', '1 tsp kali mirch', '2 tsp zeera powder', '2 tsp garam masala', 'For garnishing:', 'Pomegranate', 'Sev']",https://food.ndtv.com/recipe-dahi-bhalla-344280
Dahi Chicken Recipe,40 mins,15 mins,25 mins,2.0,Medium,"['2 Cups dahi', '1 tsp cumin powder', '1 tsp garlic paste', '1/4 tsp garam masala', '1/4 tsp turmeric powder', '1/2 tsp red chilli powder', '1 tsp salt', '500 gms boneless chicken', '1 tbsp oil', '5  Green chilli', '2 nos onion, chopped', '1  tomato, chopped']",https://food.ndtv.com/recipe-dahi-chicken-951201
Dahi Ke Kebab Recipe,1 hr 10 mins,10 mins,1 hr,8.0,Easy,"['1 1/2 Cup hung yogurt', '1/4 cup besan (chick pea flour) - dry roasted over low heat till slightly darker', '1 tbsp coriander leaves, finely chopped', '1 tsp green chillies, finely chopped', '2 tbsp onions, finely chopped', '1 tsp salt', '1 tsp cumin seeds (powdered), roasted', 'for frying  oil/ghee']",https://food.ndtv.com/recipe-dahi-ke-kebab-100502
Dahi Lasooni Chicken Recipe,45 mins,30 mins,15 mins,2.0,Easy,"['170 Gram Chicken (boneless, cube size)', '1 tbsp Chesse, grated', '2 tbsp Garlic, chopped', '1 tsp Ginger Garlic Paste', '2 pieces Coriander, chopped', '1 tsp Green Chilli Paste', '1/2 tsp Cream (fresh)', '4 tbsp Curd', '1 tsp Kaju Paste', 'As per taste  Salt', 'As per taste  Black salt', '1/2 tsp Garam Masala', '1/2 tsp Chaat masala', '1 tsp Butter']",https://food.ndtv.com/recipe-dahi-lasooni-chicken-892854
Dahi Samosa Chaat Recipe,30 mins,15 mins,15 mins,2.0,Easy,"['1 Cup Maida', '2-3 medium Mashed potato', '1/2 cup Matar (optional)', '1 tsp Garam Masala', '1/2 tsp Chaat Masala', 'to taste Salt', '1 tbsp Imli Ki Chutney', '1 tbsp Mint Chutney', '3 tbsp Dahi', 'Oil To Fry', '1 tsp Red Chilli Powder', '1-2  Chopped Green Chillies', 'to taste Black salt', 'Coriander Leaves', 'Sev To Garnish']",https://food.ndtv.com/recipe-dahi-samosa-chaat-955909
Dahiwali Toor Dal Recipe,35 mins,10 mins,25 mins,4.0,Medium,"['1 Cup toor dal, soaked for 30 minutes', '2 cups plain curd, whisked', '1  medium-sized onion, finely chopped', '2  medium-sized tomatoes,, finely chopped', '2  green chillies, slit', '1/2 tsp turmeric powder', '1 tsp cumin seeds', '1/2 tsp mustard seeds', 'A pinch of asafoetida (hing)', '1 tbsp ghee (clarified butter)', '2 tbsp coriander leaves , chopped', 'Salt to taste', 'Water, as needed']",https://food.ndtv.com/recipe-dahiwali-toor-dal-958244
Dal Bafla Recipe,1 hr,15 mins,45 mins,4.0,Easy,"['For the Bafla', '2 cups wheat flour', '1/4 cup maize flour', '1/2 cup ghee', '1 tsp cumin seeds', '1/4 tsp ajwain', 'to taste salt', 'For the Dal', '1 1/2 cups toor dal, soaked', 'A pinch of hing', '1 tsp red chilli powder', '1/2 tsp mustard seeds', '1 tsp sugar', '1/2 tsp turmeric powder', 'to taste salt', '1 tbsp desi ghee', '2 tbsp coriander leaves, chopped']",https://food.ndtv.com/recipe-dal-bafla-872322
Dal Ka Paratha Recipe,1 hr 40 mins,10 mins,1 hr 30 mins,8.0,Easy,"['1 Cup wheat flour', '2 tsp oil', '1 tsp salt', 'For the filling:', '1/2 cup dhuli moong dal (soaked)', '1/2 tsp cumin Seeds', '1/8 tsp turmeric powder', 'A pinch of asafoetida', '1/2 tsp chilli powder', '2 tsp oil', '1 tsp salt', 'ghee  (as per need)']",https://food.ndtv.com/recipe-dal-ka-paratha-98755
